"time_millis","cpu"
1509009792871,16.72
1509009792872,13.16
1509009792873,18.14
1509009792874,14.52
1509009792875,19.06
1509009792876,17.29
1509009792877,15.09
1509009792878,10.48
1509009792879,17.42
1509009792880,11.59
1509009792881,10.66
1509009792882,15.66
1509009792883,16.98
1509009792884,13.61
1509009792885,11.04
1509009792886,10.16
1509009792887,15.68
1509009792888,13.47
1509009792889,15.36
1509009792890,12.06
1509009792891,14.52
1509009792892,19.19
1509009792893,12.98
1509009792894,17.4
1509009792895,11.44
1509009792896,19.79
1509009792897,15.47
1509009792898,17.88
1509009792899,14.9
1509009792900,15.59
1509009792901,17.12
1509009792902,16.84
1509009792903,18.7
1509009792904,15.94
1509009792905,13.43
1509009792906,9.12
1509009792907,14.19
1509009792908,14.35
1509009792909,14.16
1509009792910,11.26
1509009792911,13.22
1509009792912,14.07
1509009792913,15.27
1509009792914,15.95
1509009792915,17.24
1509009792916,13.56
1509009792917,16.73
1509009792918,17.18
1509009792919,6.91
1509009792920,15.44
1509009792921,11.64
1509009792922,16.3
1509009792923,17.25
1509009792924,14.7
1509009792925,16.79
1509009792926,12.95
1509009792927,14.95
1509009792928,15.14
1509009792929,15.12
1509009792930,11.96
1509009792931,19.25
1509009792932,11.28
1509009792933,8.7
1509009792934,11.03
1509009792935,16.85
1509009792936,18.85
1509009792937,14.85
1509009792938,17.32
1509009792939,12.05
1509009792940,16.08
1509009792941,15.68
1509009792942,16.05
1509009792943,8.81
1509009792944,21.39
1509009792945,9.72
1509009792946,14.64
1509009792947,19.13
1509009792948,17.18
1509009792949,16.03
1509009792950,21.38
1509009792951,11.54
1509009792952,15.84
1509009792953,17.61
1509009792954,12.64
1509009792955,12.48
1509009792956,10.84
1509009792957,16.23
1509009792958,16
1509009792959,13.48
1509009792960,19.78
1509009792961,16.52
1509009792962,16.44
1509009792963,13.1
1509009792964,13.37
1509009792965,16.44
1509009792966,18.36
1509009792967,9.33
1509009792968,20.93
1509009792969,16.2
1509009792970,11.84
1509009792971,15.89
1509009792972,15.95
1509009792973,14.33
1509009792974,13.45
1509009792975,14.48
1509009792976,12.99
1509009792977,12.34
1509009792978,14.28
1509009792979,16.09
1509009792980,18.91
1509009792981,10.61
1509009792982,14.04
1509009792983,17.12
1509009792984,17.69
1509009792985,13.07
1509009792986,16.23
1509009792987,12.97
1509009792988,17.17
1509009792989,11.3
1509009792990,8.65
1509009792991,16.15
1509009792992,15.16
1509009792993,13.18
1509009792994,12.9
1509009792995,17.32
1509009792996,16.65
1509009792997,14.99
1509009792998,13.72
1509009792999,14.96
1509009793000,9.15
1509009793001,10.82
1509009793002,19.26
1509009793003,10.64
1509009793004,14.63
1509009793005,11.8
1509009793006,14.93
1509009793007,14.41
1509009793008,13.85
1509009793009,12.04
1509009793010,11.5
1509009793011,16.92
1509009793012,16.23
1509009793013,11.66
1509009793014,14.7
1509009793015,15.33
1509009793016,17.06
1509009793017,12.65
1509009793018,15.24
1509009793019,13.64
1509009793020,12.25
1509009793021,16.4
1509009793022,15.26
1509009793023,17.58
1509009793024,14.7
1509009793025,11.55
1509009793026,13.6
1509009793027,17.43
1509009793028,14.01
1509009793029,15.06
1509009793030,15.37
1509009793031,11.91
1509009793032,10.34
1509009793033,16.17
1509009793034,10.36
1509009793035,13.45
1509009793036,13.58
1509009793037,15.54
1509009793038,13.55
1509009793039,13.71
1509009793040,16.6
1509009793041,19.87
1509009793042,16.59
1509009793043,17.53
1509009793044,15.31
1509009793045,13.78
1509009793046,9.8
1509009793047,19.05
1509009793048,16.74
1509009793049,15.94
1509009793050,16.73
1509009793051,11.75
1509009793052,13.97
1509009793053,21.33
1509009793054,12.11
1509009793055,14.92
1509009793056,12.21
1509009793057,14.22
1509009793058,19.7
1509009793059,15.42
1509009793060,14.31
1509009793061,14.09
1509009793062,18.75
1509009793063,18.22
1509009793064,14.05
1509009793065,13.47
1509009793066,17.13
1509009793067,13.6
1509009793068,8.77
1509009793069,11.86
1509009793070,18.68
1509009793071,17.93
1509009793072,12.39
1509009793073,14.91
1509009793074,19.3
1509009793075,9.84
1509009793076,15.17
1509009793077,14.22
1509009793078,11.75
1509009793079,15.7
1509009793080,10.34
1509009793081,12.8
1509009793082,15.8
1509009793083,12.04
1509009793084,10.79
1509009793085,14.31
1509009793086,9.74
1509009793087,13.15
1509009793088,14.13
1509009793089,18.02
1509009793090,12.63
1509009793091,20.81
1509009793092,16.59
1509009793093,9.36
1509009793094,14.85
1509009793095,14.21
1509009793096,16.54
1509009793097,13.74
1509009793098,14.04
1509009793099,14.78
1509009793100,15.34
1509009793101,16.85
1509009793102,9.43
1509009793103,12.29
1509009793104,15.82
1509009793105,12.96
1509009793106,14.9
1509009793107,16.72
1509009793108,18.11
1509009793109,10.99
1509009793110,9.97
1509009793111,15.76
1509009793112,13.11
1509009793113,17.05
1509009793114,6.81
1509009793115,16.7
1509009793116,16.35
1509009793117,12.97
1509009793118,10.18
1509009793119,14.2
1509009793120,15.2
1509009793121,11.27
1509009793122,13.5
1509009793123,13.69
1509009793124,17.05
1509009793125,15.25
1509009793126,15.76
1509009793127,14.47
1509009793128,16.56
1509009793129,11.11
1509009793130,14.69
1509009793131,19.78
1509009793132,15.75
1509009793133,13.77
1509009793134,12.65
1509009793135,15.77
1509009793136,17.15
1509009793137,18.88
1509009793138,15.84
1509009793139,15.76
1509009793140,17.24
1509009793141,14.73
1509009793142,14.18
1509009793143,13.74
1509009793144,16.22
1509009793145,9.03
1509009793146,14.62
1509009793147,12.72
1509009793148,11.84
1509009793149,13.38
1509009793150,16.85
1509009793151,17.47
1509009793152,15.35
1509009793153,12.64
1509009793154,16.7
1509009793155,14.14
1509009793156,11.33
1509009793157,16.87
1509009793158,13.43
1509009793159,15.75
1509009793160,19.93
1509009793161,15.29
1509009793162,16.21
1509009793163,12.7
1509009793164,18.06
1509009793165,14.39
1509009793166,14.88
1509009793167,17.65
1509009793168,14.84
1509009793169,14.26
1509009793170,14.88
1509009793171,18.64
1509009793172,14.65
1509009793173,17.32
1509009793174,6.94
1509009793175,11.15
1509009793176,11.69
1509009793177,15.9
1509009793178,22.95
1509009793179,8.77
1509009793180,12.1
1509009793181,12.56
1509009793182,17.11
1509009793183,11.49
1509009793184,13.36
1509009793185,21
1509009793186,16.34
1509009793187,13.04
1509009793188,10.49
1509009793189,12.17
1509009793190,12.51
1509009793191,11.71
1509009793192,14.07
1509009793193,14.28
1509009793194,13.94
1509009793195,11.37
1509009793196,16.58
1509009793197,16.92
1509009793198,18.26
1509009793199,17.1
1509009793200,20.51
1509009793201,13.96
1509009793202,13.29
1509009793203,11.7
1509009793204,21.92
1509009793205,11.99
1509009793206,12.7
1509009793207,18.77
1509009793208,14.01
1509009793209,8.89
1509009793210,17.7
1509009793211,16.39
1509009793212,13.84
1509009793213,12.32
1509009793214,13.27
1509009793215,11.27
1509009793216,14.98
1509009793217,14.3
1509009793218,11.43
1509009793219,16.65
1509009793220,13.25
1509009793221,12.26
1509009793222,17.1
1509009793223,10.54
1509009793224,8.97
1509009793225,12.58
1509009793226,17.48
1509009793227,11.75
1509009793228,7.54
1509009793229,13.7
1509009793230,17.03
1509009793231,14.54
1509009793232,14.16
1509009793233,12.03
1509009793234,13.54
1509009793235,15.87
1509009793236,16.41
1509009793237,15.5
1509009793238,11.75
1509009793239,21.67
1509009793240,14.88
1509009793241,15.13
1509009793242,17.99
1509009793243,17.53
1509009793244,10.38
1509009793245,13.47
1509009793246,15.59
1509009793247,10.31
1509009793248,14.97
1509009793249,17.8
1509009793250,12.52
1509009793251,17.71
1509009793252,15.19
1509009793253,15.37
1509009793254,13.74
1509009793255,13.32
1509009793256,10.72
1509009793257,14.58
1509009793258,16.3
1509009793259,13.36
1509009793260,15.98
1509009793261,15.43
1509009793262,18.27
1509009793263,13.17
1509009793264,16.38
1509009793265,17.3
1509009793266,19.86
1509009793267,9.69
1509009793268,17.75
1509009793269,9.36
1509009793270,18.41
1509009793271,15.63
1509009793272,17.94
1509009793273,12.37
1509009793274,18.32
1509009793275,16.43
1509009793276,14.97
1509009793277,11.05
1509009793278,16.48
1509009793279,10.56
1509009793280,13.21
1509009793281,14.08
1509009793282,15.82
1509009793283,17.83
1509009793284,17.61
1509009793285,17
1509009793286,14.21
1509009793287,14.79
1509009793288,16.91
1509009793289,11.92
1509009793290,12.43
1509009793291,15.4
1509009793292,14.6
1509009793293,15.65
1509009793294,17.38
1509009793295,16.02
1509009793296,11.24
1509009793297,14.82
1509009793298,17.39
1509009793299,14.95
1509009793300,13.74
1509009793301,11.13
1509009793302,15.39
1509009793303,13.9
1509009793304,15.95
1509009793305,15.45
1509009793306,13.93
1509009793307,16.46
1509009793308,16.52
1509009793309,11.07
1509009793310,19.4
1509009793311,14.07
1509009793312,16.55
1509009793313,15.4
1509009793314,15.2
1509009793315,13.18
1509009793316,16.54
1509009793317,11.53
1509009793318,13.12
1509009793319,11.67
1509009793320,19.08
1509009793321,14.3
1509009793322,11.53
1509009793323,14.49
1509009793324,14.26
1509009793325,21.67
1509009793326,12.13
1509009793327,14.68
1509009793328,15.2
1509009793329,17.79
1509009793330,17.09
1509009793331,16.06
1509009793332,13.89
1509009793333,16.72
1509009793334,13.05
1509009793335,10.11
1509009793336,15.34
1509009793337,14.39
1509009793338,13.63
1509009793339,11.25
1509009793340,13.84
1509009793341,16.76
1509009793342,16.36
1509009793343,12.6
1509009793344,14.27
1509009793345,15.83
1509009793346,14.3
1509009793347,17.45
1509009793348,18.14
1509009793349,15.65
1509009793350,12.89
1509009793351,20.14
1509009793352,23.08
1509009793353,16.93
1509009793354,13.82
1509009793355,14.48
1509009793356,19.11
1509009793357,11.8
1509009793358,15
1509009793359,13.84
1509009793360,12.78
1509009793361,14.64
1509009793362,20.2
1509009793363,11.8
1509009793364,15.4
1509009793365,12.41
1509009793366,16.27
1509009793367,16.16
1509009793368,15.8
1509009793369,13.74
1509009793370,17.09
1509009793371,16.04
1509009793372,13.98
1509009793373,10.34
1509009793374,15.59
1509009793375,19.54
1509009793376,11.39
1509009793377,17.44
1509009793378,11.13
1509009793379,13.73
1509009793380,11.88
1509009793381,17.44
1509009793382,13.44
1509009793383,11.78
1509009793384,16.64
1509009793385,14.87
1509009793386,18.44
1509009793387,13.78
1509009793388,10.7
1509009793389,11.33
1509009793390,11.81
1509009793391,12.61
1509009793392,17.93
1509009793393,15.67
1509009793394,16.32
1509009793395,9.08
1509009793396,14.2
1509009793397,13.16
1509009793398,16.41
1509009793399,14.14
1509009793400,11.01
1509009793401,14.33
1509009793402,18.28
1509009793403,14.24
1509009793404,15.03
1509009793405,14.9
1509009793406,12.79
1509009793407,12.18
1509009793408,11.57
1509009793409,16.12
1509009793410,11.43
1509009793411,13.59
1509009793412,14.47
1509009793413,8.56
1509009793414,14.42
1509009793415,17.38
1509009793416,15.21
1509009793417,18.33
1509009793418,12.89
1509009793419,10.88
1509009793420,8.43
1509009793421,9.73
1509009793422,12.1
1509009793423,11.51
1509009793424,14.53
1509009793425,15.85
1509009793426,21.69
1509009793427,9.88
1509009793428,13.14
1509009793429,16.31
1509009793430,16.69
1509009793431,15.56
1509009793432,20.31
1509009793433,16.47
1509009793434,12.69
1509009793435,13.31
1509009793436,17.56
1509009793437,11.37
1509009793438,16.48
1509009793439,10.28
1509009793440,19.64
1509009793441,14.79
1509009793442,14.82
1509009793443,15.31
1509009793444,14.13
1509009793445,14.19
1509009793446,17.12
1509009793447,12.96
1509009793448,16.16
1509009793449,13.97
1509009793450,12.48
1509009793451,21.14
1509009793452,11.92
1509009793453,14.44
1509009793454,13.66
1509009793455,14.58
1509009793456,16.74
1509009793457,15.86
1509009793458,18.55
1509009793459,13.25
1509009793460,16.07
1509009793461,12.48
1509009793462,17.37
1509009793463,16.61
1509009793464,15.7
1509009793465,17.15
1509009793466,17.34
1509009793467,18.39
1509009793468,13.57
1509009793469,13.53
1509009793470,11.19
1509009793471,15.94
1509009793472,13.36
1509009793473,14.12
1509009793474,15.48
1509009793475,15.21
1509009793476,13.62
1509009793477,15.45
1509009793478,12.06
1509009793479,12.39
1509009793480,11.41
1509009793481,13.76
1509009793482,13.24
1509009793483,13.39
1509009793484,16.54
1509009793485,13.9
1509009793486,13.1
1509009793487,11.67
1509009793488,7.25
1509009793489,10.73
1509009793490,16.51
1509009793491,7.96
1509009793492,8.79
1509009793493,10.9
1509009793494,19.19
1509009793495,12.89
1509009793496,17.83
1509009793497,14.02
1509009793498,13.02
1509009793499,12.7
1509009793500,15.05
1509009793501,19.98
1509009793502,14.18
1509009793503,8.2
1509009793504,16.85
1509009793505,14.1
1509009793506,13.32
1509009793507,7.63
1509009793508,8.83
1509009793509,11.6
1509009793510,12.05
1509009793511,10.81
1509009793512,13.91
1509009793513,11.33
1509009793514,15.87
1509009793515,15.51
1509009793516,17.65
1509009793517,9.68
1509009793518,11.61
1509009793519,12.95
1509009793520,13.87
1509009793521,13.5
1509009793522,13.76
1509009793523,14.84
1509009793524,14.96
1509009793525,12.04
1509009793526,16.67
1509009793527,10.82
1509009793528,13.81
1509009793529,14.68
1509009793530,16.7
1509009793531,19.15
1509009793532,20.39
1509009793533,11.63
1509009793534,16.72
1509009793535,11.55
1509009793536,12.3
1509009793537,14.17
1509009793538,12.12
1509009793539,18.86
1509009793540,16.66
1509009793541,17.88
1509009793542,12.82
1509009793543,13.44
1509009793544,17.77
1509009793545,14.1
1509009793546,12.67
1509009793547,16.78
1509009793548,17.81
1509009793549,21.04
1509009793550,15.06
1509009793551,12.76
1509009793552,11.9
1509009793553,21.01
1509009793554,13.67
1509009793555,18.64
1509009793556,11.1
1509009793557,16.99
1509009793558,17.91
1509009793559,8.3
1509009793560,15.98
1509009793561,12.23
1509009793562,15.18
1509009793563,14.23
1509009793564,15.17
1509009793565,15.68
1509009793566,17.3
1509009793567,11.02
1509009793568,13.43
1509009793569,13.63
1509009793570,18.77
1509009793571,13.46
1509009793572,15.24
1509009793573,17.91
1509009793574,11.21
1509009793575,16.76
1509009793576,17.74
1509009793577,16.56
1509009793578,10.8
1509009793579,10.24
1509009793580,10.73
1509009793581,10.78
1509009793582,10.53
1509009793583,12.85
1509009793584,23.85
1509009793585,12.21
1509009793586,16.73
1509009793587,10.05
1509009793588,7.41
1509009793589,12.8
1509009793590,16.32
1509009793591,17.13
1509009793592,19.18
1509009793593,14
1509009793594,18.67
1509009793595,15.77
1509009793596,15.39
1509009793597,12.62
1509009793598,15.36
1509009793599,15.81
1509009793600,13.41
1509009793601,17.97
1509009793602,12.59
1509009793603,11.04
1509009793604,16.23
1509009793605,12.26
1509009793606,19.36
1509009793607,15.15
1509009793608,15.25
1509009793609,14.72
1509009793610,15.62
1509009793611,16.71
1509009793612,12.71
1509009793613,16.05
1509009793614,14.16
1509009793615,15.43
1509009793616,11.71
1509009793617,15.03
1509009793618,12.41
1509009793619,10.54
1509009793620,14.82
1509009793621,13.53
1509009793622,14.46
1509009793623,17.32
1509009793624,11.99
1509009793625,15.94
1509009793626,14
1509009793627,12.96
1509009793628,16.22
1509009793629,15.13
1509009793630,22.7
1509009793631,16.4
1509009793632,19.59
1509009793633,17.92
1509009793634,12.13
1509009793635,12.94
1509009793636,16.58
1509009793637,18.66
1509009793638,14.24
1509009793639,15.65
1509009793640,17.74
1509009793641,12.68
1509009793642,13.57
1509009793643,15.29
1509009793644,17.78
1509009793645,10.86
1509009793646,16.98
1509009793647,12.26
1509009793648,7.78
1509009793649,15
1509009793650,13.97
1509009793651,15.66
1509009793652,16.77
1509009793653,16.53
1509009793654,8.39
1509009793655,20.71
1509009793656,10.12
1509009793657,15.65
1509009793658,13.81
1509009793659,13.06
1509009793660,15.45
1509009793661,16.35
1509009793662,14.95
1509009793663,14.35
1509009793664,16.09
1509009793665,15.41
1509009793666,16.38
1509009793667,17.4
1509009793668,13.89
1509009793669,16.86
1509009793670,16.44
1509009793671,16.56
1509009793672,17.28
1509009793673,13.3
1509009793674,15.49
1509009793675,15.37
1509009793676,17.8
1509009793677,18.3
1509009793678,10.85
1509009793679,15.56
1509009793680,13.87
1509009793681,18.86
1509009793682,19.16
1509009793683,15.23
1509009793684,11.29
1509009793685,15.92
1509009793686,15.1
1509009793687,12.65
1509009793688,11.5
1509009793689,13.97
1509009793690,19.85
1509009793691,12.87
1509009793692,10.43
1509009793693,16.62
1509009793694,13.03
1509009793695,13.65
1509009793696,12.79
1509009793697,14.32
1509009793698,13.08
1509009793699,18.51
1509009793700,13.77
1509009793701,16.26
1509009793702,13.31
1509009793703,13.07
1509009793704,7.23
1509009793705,15.27
1509009793706,15.97
1509009793707,15.26
1509009793708,8.69
1509009793709,16.41
1509009793710,13.22
1509009793711,17.14
1509009793712,17.4
1509009793713,13.91
1509009793714,13.78
1509009793715,13.53
1509009793716,15.39
1509009793717,15.02
1509009793718,15.57
1509009793719,17.21
1509009793720,20.72
1509009793721,15.66
1509009793722,14.32
1509009793723,20.74
1509009793724,10.64
1509009793725,9.83
1509009793726,16.2
1509009793727,11.8
1509009793728,12.67
1509009793729,14.15
1509009793730,11.13
1509009793731,19.78
1509009793732,14.34
1509009793733,16.6
1509009793734,18.8
1509009793735,13.33
1509009793736,12.5
1509009793737,16.55
1509009793738,14.27
1509009793739,16.96
1509009793740,19.01
1509009793741,17.49
1509009793742,15.7
1509009793743,15.51
1509009793744,19.59
1509009793745,13.53
1509009793746,14.64
1509009793747,13.21
1509009793748,16.4
1509009793749,17.45
1509009793750,14.29
1509009793751,18.57
1509009793752,12.26
1509009793753,20.23
1509009793754,12.43
1509009793755,17.93
1509009793756,13.62
1509009793757,18.77
1509009793758,18.18
1509009793759,15.25
1509009793760,17.35
1509009793761,14.63
1509009793762,13.11
1509009793763,13.18
1509009793764,15.44
1509009793765,14.79
1509009793766,15.37
1509009793767,13.1
1509009793768,11.51
1509009793769,9.24
1509009793770,7.64
1509009793771,16.42
1509009793772,14.84
1509009793773,19.23
1509009793774,13.71
1509009793775,16.15
1509009793776,16.05
1509009793777,11.79
1509009793778,12.87
1509009793779,17.41
1509009793780,13.08
1509009793781,10.2
1509009793782,15.46
1509009793783,13.38
1509009793784,14.38
1509009793785,14.88
1509009793786,14.18
1509009793787,17.12
1509009793788,14.54
1509009793789,15.27
1509009793790,13.48
1509009793791,9.67
1509009793792,9.89
1509009793793,14.27
1509009793794,15.05
1509009793795,13.06
1509009793796,13.43
1509009793797,14.09
1509009793798,14.69
1509009793799,15.96
1509009793800,14.51
1509009793801,13.24
1509009793802,9.27
1509009793803,15.45
1509009793804,13.12
1509009793805,14.31
1509009793806,10.13
1509009793807,13.85
1509009793808,12.52
1509009793809,17.03
1509009793810,13.14
1509009793811,12.33
1509009793812,15.23
1509009793813,14.82
1509009793814,19.09
1509009793815,15.04
1509009793816,17.81
1509009793817,12.89
1509009793818,12.01
1509009793819,17.03
1509009793820,13.3
1509009793821,13.73
1509009793822,13.97
1509009793823,14.75
1509009793824,18.41
1509009793825,19.3
1509009793826,18.91
1509009793827,15.47
1509009793828,17.47
1509009793829,17.42
1509009793830,19.64
1509009793831,12.08
1509009793832,11.72
1509009793833,9.93
1509009793834,12.69
1509009793835,14.72
1509009793836,15.5
1509009793837,18.19
1509009793838,14.49
1509009793839,10.82
1509009793840,14.96
1509009793841,15.79
1509009793842,13.14
1509009793843,17.8
1509009793844,15.11
1509009793845,13.71
1509009793846,13.77
1509009793847,11.06
1509009793848,15.36
1509009793849,15.95
1509009793850,13.19
1509009793851,18.57
1509009793852,16.15
1509009793853,11.51
1509009793854,13.06
1509009793855,14.56
1509009793856,13.32
1509009793857,21.91
1509009793858,13.92
1509009793859,13.19
1509009793860,15.93
1509009793861,11.77
1509009793862,14.57
1509009793863,16.69
1509009793864,17.69
1509009793865,12.79
1509009793866,18.02
1509009793867,14.88
1509009793868,14.75
1509009793869,13.95
1509009793870,14
1509009793871,9.59
1509009793872,9.91
1509009793873,18.7
1509009793874,16.67
1509009793875,11.99
1509009793876,15.14
1509009793877,15.68
1509009793878,10.67
1509009793879,14.5
1509009793880,10.12
1509009793881,12.09
1509009793882,13.87
1509009793883,11.23
1509009793884,17.58
1509009793885,14.12
1509009793886,14.63
1509009793887,17.46
1509009793888,19.95
1509009793889,12.53
1509009793890,14.76
1509009793891,14.83
1509009793892,11.6
1509009793893,18.23
1509009793894,15.7
1509009793895,9.54
1509009793896,16.84
1509009793897,10.55
1509009793898,21.22
1509009793899,16.99
1509009793900,14.88
1509009793901,9.23
1509009793902,16.34
1509009793903,16.09
1509009793904,13.58
1509009793905,18.43
1509009793906,12.23
1509009793907,11.71
1509009793908,15.14
1509009793909,14.82
1509009793910,11.25
1509009793911,9.13
1509009793912,11.06
1509009793913,8.91
1509009793914,10.22
1509009793915,15.03
1509009793916,19.61
1509009793917,9.32
1509009793918,12.59
1509009793919,14.32
1509009793920,14.95
1509009793921,11.82
1509009793922,14.91
1509009793923,18.84
1509009793924,11.88
1509009793925,15.25
1509009793926,19.93
1509009793927,16.63
1509009793928,13.49
1509009793929,12.48
1509009793930,16.1
1509009793931,10.98
1509009793932,11.23
1509009793933,13.37
1509009793934,14.44
1509009793935,19.73
1509009793936,16.64
1509009793937,13.9
1509009793938,14.48
1509009793939,15
1509009793940,11.62
1509009793941,18.81
1509009793942,18.33
1509009793943,13.81
1509009793944,17.64
1509009793945,12.62
1509009793946,10.93
1509009793947,12.09
1509009793948,13.46
1509009793949,11.5
1509009793950,11.4
1509009793951,12.88
1509009793952,14.34
1509009793953,9.97
1509009793954,15.14
1509009793955,15.22
1509009793956,17.89
1509009793957,16.54
1509009793958,14.05
1509009793959,15.78
1509009793960,16
1509009793961,15.57
1509009793962,13.38
1509009793963,14.24
1509009793964,10.72
1509009793965,12.81
1509009793966,12.89
1509009793967,10.05
1509009793968,15.84
1509009793969,18.43
1509009793970,11.87
1509009793971,17.05
1509009793972,15.87
1509009793973,15.21
1509009793974,13.09
1509009793975,17.15
1509009793976,14.18
1509009793977,14.66
1509009793978,12.07
1509009793979,17.44
1509009793980,14.27
1509009793981,14.38
1509009793982,9.46
1509009793983,15.35
1509009793984,10.46
1509009793985,12.9
1509009793986,16.11
1509009793987,12.95
1509009793988,15.25
1509009793989,14.47
1509009793990,16.11
1509009793991,12.89
1509009793992,15.59
1509009793993,14
1509009793994,17.82
1509009793995,12.76
1509009793996,14.51
1509009793997,14.78
1509009793998,17.94
1509009793999,20.38
1509009794000,16.32
1509009794001,11.95
1509009794002,18.63
1509009794003,16.6
1509009794004,10.63
1509009794005,12.17
1509009794006,15.19
1509009794007,11.8
1509009794008,18.34
1509009794009,17.24
1509009794010,17.75
1509009794011,13.18
1509009794012,16.96
1509009794013,15.41
1509009794014,15.22
1509009794015,16.65
1509009794016,10.89
1509009794017,10.33
1509009794018,13.13
1509009794019,14.01
1509009794020,13.58
1509009794021,9.56
1509009794022,15.87
1509009794023,21.22
1509009794024,11.86
1509009794025,12.92
1509009794026,20.05
1509009794027,17.72
1509009794028,11.31
1509009794029,14.49
1509009794030,14.69
1509009794031,13.7
1509009794032,8.24
1509009794033,16.36
1509009794034,13.87
1509009794035,15.28
1509009794036,10.21
1509009794037,11.6
1509009794038,15.14
1509009794039,15.96
1509009794040,13.09
1509009794041,10.99
1509009794042,19.55
1509009794043,10.52
1509009794044,16.44
1509009794045,11.5
1509009794046,16.83
1509009794047,11.85
1509009794048,16.52
1509009794049,11.38
1509009794050,13.15
1509009794051,14.44
1509009794052,11.14
1509009794053,15.18
1509009794054,20.81
1509009794055,16.94
1509009794056,12.17
1509009794057,9.55
1509009794058,20.97
1509009794059,11.02
1509009794060,16.4
1509009794061,15.99
1509009794062,14.41
1509009794063,11.92
1509009794064,10.05
1509009794065,15.84
1509009794066,19.65
1509009794067,16.58
1509009794068,17.31
1509009794069,16.28
